location,timestamp,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3
City Center,2025-07-10T00:00,8.9,5.8,236.0
City Center,2025-07-10T01:00,10.9,6.0,195.0
City Center,2025-07-10T02:00,10.9,5.8,167.0
City Center,2025-07-10T03:00,11.1,5.7,157.0
City Center,2025-07-10T04:00,10.1,5.2,160.0
City Center,2025-07-10T05:00,4.4,2.9,176.0
City Center,2025-07-10T06:00,4.0,2.8,220.0
City Center,2025-07-10T07:00,6.4,4.1,277.0
City Center,2025-07-10T08:00,7.6,4.4,309.0
City Center,2025-07-10T09:00,6.8,4.2,289.0
City Center,2025-07-10T10:00,8.5,4.7,242.0
City Center,2025-07-10T11:00,10.6,5.2,207.0
City Center,2025-07-10T12:00,14.8,6.3,195.0
City Center,2025-07-10T13:00,30.7,10.0,194.0
City Center,2025-07-10T14:00,17.5,6.7,208.0
City Center,2025-07-10T15:00,20.4,7.4,244.0
City Center,2025-07-10T16:00,15.7,8.2,294.0
City Center,2025-07-10T17:00,21.7,10.6,343.0
City Center,2025-07-10T18:00,17.8,11.1,392.0
City Center,2025-07-10T19:00,17.2,12.3,439.0
City Center,2025-07-10T20:00,16.1,11.8,459.0
City Center,2025-07-10T21:00,14.1,10.3,436.0
City Center,2025-07-10T22:00,13.9,10.2,385.0
City Center,2025-07-10T23:00,13.7,10.0,330.0
City Center,2025-07-11T00:00,13.1,9.3,270.0
City Center,2025-07-11T01:00,12.5,8.5,205.0
City Center,2025-07-11T02:00,11.6,7.7,162.0
City Center,2025-07-11T03:00,10.1,6.7,153.0
City Center,2025-07-11T04:00,8.5,5.8,166.0
City Center,2025-07-11T05:00,7.1,5.1,192.0
City Center,2025-07-11T06:00,6.3,4.7,243.0
City Center,2025-07-11T07:00,6.7,5.2,307.0
City Center,2025-07-11T08:00,8.0,5.8,342.0
City Center,2025-07-11T09:00,11.1,5.9,317.0
City Center,2025-07-11T10:00,14.8,6.8,263.0
City Center,2025-07-11T11:00,15.6,7.3,224.0
City Center,2025-07-11T12:00,15.2,6.9,209.0
City Center,2025-07-11T13:00,16.6,6.9,209.0
City Center,2025-07-11T14:00,18.2,7.2,242.0
City Center,2025-07-11T15:00,18.2,8.4,338.0
City Center,2025-07-11T16:00,17.8,8.9,467.0
City Center,2025-07-11T17:00,13.9,7.0,551.0
City Center,2025-07-11T18:00,12.0,7.8,553.0
City Center,2025-07-11T19:00,10.6,8.1,510.0
City Center,2025-07-11T20:00,10.1,8.4,459.0
City Center,2025-07-11T21:00,8.4,7.5,409.0
City Center,2025-07-11T22:00,7.4,7.0,351.0
City Center,2025-07-11T23:00,6.5,6.2,297.0
City Center,2025-07-12T00:00,5.3,4.8,247.0
City Center,2025-07-12T01:00,4.8,4.1,201.0
City Center,2025-07-12T02:00,4.6,3.7,170.0
City Center,2025-07-12T03:00,4.7,3.5,158.0
City Center,2025-07-12T04:00,4.7,3.4,160.0
City Center,2025-07-12T05:00,4.2,3.6,181.0
City Center,2025-07-12T06:00,5.0,4.1,237.0
City Center,2025-07-12T07:00,5.9,5.2,311.0
City Center,2025-07-12T08:00,6.9,6.4,352.0
City Center,2025-07-12T09:00,6.7,6.2,327.0
City Center,2025-07-12T10:00,6.6,6.3,268.0
City Center,2025-07-12T11:00,6.1,5.9,225.0
City Center,2025-07-12T12:00,5.9,5.6,215.0
City Center,2025-07-12T13:00,6.0,5.3,221.0
City Center,2025-07-12T14:00,7.0,5.6,238.0
City Center,2025-07-12T15:00,8.0,5.4,269.0
City Center,2025-07-12T16:00,9.9,5.6,311.0
City Center,2025-07-12T17:00,9.5,5.6,350.0
City Center,2025-07-12T18:00,9.8,7.1,387.0
City Center,2025-07-12T19:00,10.8,8.8,421.0
City Center,2025-07-12T20:00,10.9,9.5,440.0
City Center,2025-07-12T21:00,10.1,9.1,442.0
City Center,2025-07-12T22:00,9.7,8.8,429.0
City Center,2025-07-12T23:00,8.9,8.1,398.0
City Center,2025-07-13T00:00,7.4,6.5,336.0
City Center,2025-07-13T01:00,6.6,5.6,256.0
City Center,2025-07-13T02:00,6.8,5.4,197.0
City Center,2025-07-13T03:00,7.5,5.5,173.0
City Center,2025-07-13T04:00,7.7,5.5,170.0
City Center,2025-07-13T05:00,6.4,5.2,184.0
City Center,2025-07-13T06:00,6.4,4.7,228.0
City Center,2025-07-13T07:00,7.3,4.7,289.0
City Center,2025-07-13T08:00,7.1,4.8,323.0
City Center,2025-07-13T09:00,6.5,4.5,299.0
City Center,2025-07-13T10:00,7.1,4.6,247.0
City Center,2025-07-13T11:00,10.7,5.3,216.0
City Center,2025-07-13T12:00,12.3,5.4,224.0
City Center,2025-07-13T13:00,13.2,5.5,252.0
City Center,2025-07-13T14:00,16.2,6.6,294.0
City Center,2025-07-13T15:00,18.9,7.3,361.0
City Center,2025-07-13T16:00,17.2,7.6,442.0
City Center,2025-07-13T17:00,13.1,7.6,494.0
City Center,2025-07-13T18:00,10.9,7.9,498.0
City Center,2025-07-13T19:00,10.4,8.0,473.0
City Center,2025-07-13T20:00,9.7,7.9,439.0
City Center,2025-07-13T21:00,8.6,7.3,400.0
City Center,2025-07-13T22:00,7.7,6.7,352.0
City Center,2025-07-13T23:00,7.3,6.2,303.0
City Center,2025-07-14T00:00,7.0,5.5,251.0
City Center,2025-07-14T01:00,7.1,5.1,199.0
City Center,2025-07-14T02:00,7.7,5.1,163.0
City Center,2025-07-14T03:00,8.6,5.2,148.0
City Center,2025-07-14T04:00,9.6,5.5,149.0
City Center,2025-07-14T05:00,8.6,4.9,168.0
City Center,2025-07-14T06:00,7.5,4.6,220.0
City Center,2025-07-14T07:00,6.4,4.1,290.0
City Center,2025-07-14T08:00,6.4,5.0,330.0
City Center,2025-07-14T09:00,5.3,4.0,309.0
City Center,2025-07-14T10:00,6.2,4.0,257.0
City Center,2025-07-14T11:00,5.8,3.4,220.0
